1981-01-01, 266.0
1981-01-04, 145.9
1981-01-07, 183.1
1981-01-10, 119.3
1981-01-13, 180.3
1981-01-16, 168.5
1981-01-19, 231.8
1981-01-22, 224.5
1981-01-25, 192.8
1981-01-28, 122.9
1981-01-31, 336.5
1981-02-03, 185.9
1981-02-06, 194.3
1981-02-09, 149.5
1981-02-12, 210.1
1981-02-15, 273.3
1981-02-18, 191.4
1981-02-21, 287.0
1981-02-24, 226.0
1981-02-27, 303.6
1981-03-02, 289.9
1981-03-05, 421.6
1981-03-08, 264.5
1981-03-11, 342.3
1981-03-14, 339.7
1981-03-17, 440.4
1981-03-20, 315.9
1981-03-23, 439.3
1981-03-26, 401.3
1981-03-29, 437.4
1981-04-01, 575.5
1981-04-04, 407.6
1981-04-07, 682.0
1981-04-10, 475.3
1981-04-13, 581.3
1981-04-16, 646.9
